"Year","Election Date","Election Type","Votes Cast","Party","Number of Candidates","Seats Won",
"2018","June 07, 2018","General Election","2326523","Progressive Conservative Party of Ontario","124","76",
"2018","June 07, 2018","General Election","264519","Green Party of Ontario","124","1",
"2018","June 07, 2018","General Election","1929966","New Democratic Party of Ontario","124","40",
"2018","June 07, 2018","General Election","1124346","Ontario Liberal Party","124","7",
"2018","June 07, 2018","General Election","2565","Freedom Party of Ontario","14","0",
"2018","June 07, 2018","General Election","1471","Communist Party of Canada (Ontario)","12","0",
"2018","June 07, 2018","General Election","386","Ontario Provincial Confederation of Regions Party","2","0",
"2018","June 07, 2018","General Election","42822","Ontario Libertarian Party","117","0",
"2018","June 07, 2018","General Election","631","Party For People with Special Needs","5","0",
"2018","June 07, 2018","General Election","393","No Affiliation","5","0",
"2018","June 07, 2018","General Election","112","Pauper Party of Ontario","2","0",
"2018","June 07, 2018","General Election","256","Go Vegan","2","0",
"2018","June 07, 2018","General Election","628","The Peoples Political Party","6","0",
"2018","June 07, 2018","General Election","5912","Northern Ontario Party","10","0",
"2018","June 07, 2018","General Election","1239","Canadians' Choice Party","5","0",
"2018","June 07, 2018","General Election","2199","Ontario Moderate Party","16","0",
"2018","June 07, 2018","General Election","8091","Trillium Party of Ontario","25","0",
"2018","June 07, 2018","General Election","16146","None of the Above Direct Democracy Party","42","0",
"2018","June 07, 2018","General Election","1078","Stop the New Sex-Ed Agenda","3","0",
"2018","June 07, 2018","General Election","215","Cultural Action Party of Ontario","3","0",
"2018","June 07, 2018","General Election","802","Ontario Alliance","3","0",
"2018","June 07, 2018","General Election","634","The New People's Choice Party of Ontario","3","0",
"2018","June 07, 2018","General Election","191","Multicultural Party of Ontario","2","0",
"2018","June 07, 2018","General Election","2682","Consensus Ontario","10","0",
"2018","June 07, 2018","General Election","321","Canadian Economic Party","3","0",
"2018","June 07, 2018","General Election","340","Stop Climate Change","2","0",
"2018","June 07, 2018","General Election","67","Ontario Social Reform Party","1","0",
"2018","June 07, 2018","General Election","2316","Ontario Party","5","0",
"2018","June 07, 2018","General Election","176","Party of Objective Truth","2","0",
"2014","June 12, 2014","General Election","3816","Independent","14","0",
"2014","June 12, 2014","General Election","1505436","Progressive Conservative Party of Ontario","107","28",
"2014","June 12, 2014","General Election","235911","The Green Party of Ontario","107","0",
"2014","June 12, 2014","General Election","1144822","New Democratic Party of Ontario","107","21",
"2014","June 12, 2014","General Election","1863974","Ontario Liberal Party","107","58",
"2014","June 12, 2014","General Election","4287","Family Coalition Party","6","0",
"2014","June 12, 2014","General Election","549","Ontario Provincial Confederation of Regions Party","2","0",
"2014","June 12, 2014","General Election","37696","Ontario Libertarian Party","73","0",
"2014","June 12, 2014","General Election","714","Party For People with Special Needs","3","0",
"2014","June 12, 2014","General Election","2081","Communist Party of Canada (Ontario)","11","0",
"2014","June 12, 2014","General Election","11835","Freedom Party of Ontario","42","0",
"2014","June 12, 2014","General Election","871","Northern Ontario Heritage","3","0",
"2014","June 12, 2014","General Election","866","Vegan Environmental Party","5","0",
"2014","June 12, 2014","General Election","834","The Peoples Political Party","5","0",
"2014","June 12, 2014","General Election","1287","Canadians' Choice Party","4","0",
"2014","June 12, 2014","General Election","4092","None of the Above Party of Ontario","8","0",
"2014","June 12, 2014","General Election","268","Ontario Moderate Party","2","0",
"2014","June 12, 2014","General Election","368","Socialist Party of Ontario","2","0",
"2014","June 12, 2014","General Election","296","Trillium Party of Ontario","2","0",
"2014","June 12, 2014","General Election","362","Equal Parenting Party","2","0",
"2014","June 12, 2014","General Election","182","Pauper Party of Ontario","3","0",
"2011","October 06, 2011","General Election","8299","Independent","29","0",
"2011","October 06, 2011","General Election","562","Paramount Canadians Party","4","0",
"2011","October 06, 2011","General Election","9524","Family Coalition Party of Ontario","31","0",
"2011","October 06, 2011","General Election","559","Ontario Provincial Confederation of Regions Party","3","0",
"2011","October 06, 2011","General Election","19447","Ontario Libertarian Party","51","0",
"2011","October 06, 2011","General Election","667","Party For People with Special Needs","4","0",
"2011","October 06, 2011","General Election","647","Reform Party of Ontario","4","0",
"2011","October 06, 2011","General Election","722","No Affiliation","7","0",
"2011","October 06, 2011","General Election","1162","Communist Party of Canada (Ontario)","9","0",
"2011","October 06, 2011","General Election","156","Canadians' Choice Party","3","0",
"2011","October 06, 2011","General Election","14512","Freedom Party of Ontario","57","0",
"2011","October 06, 2011","General Election","126021","Green Party of Ontario","107","0",
"2011","October 06, 2011","General Election","1625102","Ontario Liberal Party","107","53",
"2011","October 06, 2011","General Election","976249","New Democratic Party of Ontario","107","17",
"2011","October 06, 2011","General Election","676","Northern Ontario Heritage Party","3","0",
"2011","October 06, 2011","General Election","526","Pauper Party of Ontario","6","0",
"2011","October 06, 2011","General Election","1530076","Progressive Conservative Party of Ontario","107","37",
"2011","October 06, 2011","General Election","366","Vegan Environmental Party","3","0",
"2011","October 06, 2011","General Election","519","Socialist Party of Ontario","5","0",
"2011","October 06, 2011","General Election","188","The Only Party","3","0",
"2011","October 06, 2011","General Election","170","Party For Human Rights In Ontario","2","0",
"2011","October 06, 2011","General Election","232","People First Republic Party of Ontario","3","0",
"2007","October 10, 2007","General Election","7963","Independent","29","0",
"2007","October 10, 2007","General Election","35702","Family Coalition Party of Ontario","83","0",
"2007","October 10, 2007","General Election","446","Ontario Provincial Confederation of Regions Party","2","0",
"2007","October 10, 2007","General Election","9249","Ontario Libertarian Party","25","0",
"2007","October 10, 2007","General Election","502","Party For People with Special Needs","2","0",
"2007","October 10, 2007","General Election","272","Republican Party of Ontario","2","0",
"2007","October 10, 2007","General Election","354","Reform Party of Ontario","2","0",
"2007","October 10, 2007","General Election","363","No Affiliation","3","0",
"2007","October 10, 2007","General Election","1603","Communist Party of Canada (Ontario)","8","0",
"2007","October 10, 2007","General Election","3003","Freedom Party of Ontario","15","0",
"2007","October 10, 2007","General Election","354897","The Green Party of Ontario","107","0",
"2007","October 10, 2007","General Election","1869273","Ontario Liberal Party","107","71",
"2007","October 10, 2007","General Election","741465","New Democratic Party of Ontario","107","10",
"2007","October 10, 2007","General Election","1398806","Progressive Conservative Party of Ontario","107","26",
"2003","October 02, 2003","General Election","13211","Independent","24","0",
"2003","October 02, 2003","General Election","34623","Family Coalition Party of Ontario","51","0",
"2003","October 02, 2003","General Election","293","Ontario Provincial Confederation of Regions Party","1","0",
"2003","October 02, 2003","General Election","1991","Ontario Libertarian Party","5","0",
"2003","October 02, 2003","General Election","2187","Communist","6","0",
"2003","October 02, 2003","General Election","8376","Freedom","24","0",
"2003","October 02, 2003","General Election","126651","Green","102","0",
"2003","October 02, 2003","General Election","2090001","Liberal","103","72",
"2003","October 02, 2003","General Election","660730","New Democratic","103","7",
"2003","October 02, 2003","General Election","1559181","Progressive Conservative","103","24",
"1999","June 03, 1999","General Election","814","Communist Party of Canada (Ontario)","4","0",
"1999","June 03, 1999","General Election","282","Ontario Provincial Confederation of Regions Party","2","0",
"1999","June 03, 1999","General Election","24216","Family Coalition Party of Ontario","37","0",
"1999","June 03, 1999","General Election","4831","Freedom Party of Ontario","14","0",
"1999","June 03, 1999","General Election","30781","Green Party of Ontario","58","0",
"1999","June 03, 1999","General Election","26980","Independent","62","0",
"1999","June 03, 1999","General Election","1751472","Ontario Liberal Party","103","35",
"1999","June 03, 1999","General Election","2337","Ontario Libertarian Party","7","0",
"1999","June 03, 1999","General Election","550807","New Democratic Party of Ontario","103","9",
"1999","June 03, 1999","General Election","19454","Natural Law Party","74","0",
"1999","June 03, 1999","General Election","1978059","Progressive Conservative Party of Ontario","103","59",
"1999","June 03, 1999","General Election","174","Reform Party of Ontario","1","0",
"1995","June 08, 1995","General Election","1015","Communist Party","5","0",
"1995","June 08, 1995","General Election","3971","Confederation of Regions Party","6","0",
"1995","June 08, 1995","General Election","61657","Family Coalition Party","55","0",
"1995","June 08, 1995","General Election","4532","Freedom Party","12","0",
"1995","June 08, 1995","General Election","14108","Green Party","37","0",
"1995","June 08, 1995","General Election","33077","Independent","60","1",
"1995","June 08, 1995","General Election","1291326","Liberal Party","130","30",
"1995","June 08, 1995","General Election","6085","Libertarian Party","18","0",
"1995","June 08, 1995","General Election","854163","New Democratic Party","130","17",
"1995","June 08, 1995","General Election","18326","Natural Law Party","68","0",
"1995","June 08, 1995","General Election","1870110","Progressive Conservative Party","130","82",
"1990","September 06, 1990","General Election","1139","Communist Party","4","0",
"1990","September 06, 1990","General Election","75873","Confederation of Regions Party","32","0",
"1990","September 06, 1990","General Election","110831","Family Coalition Party of Ontario","68","0",
"1990","September 06, 1990","General Election","6015","Freedom Party","10","0",
"1990","September 06, 1990","General Election","30097","Green Party","40","0",
"1990","September 06, 1990","General Election","13307","Independent","25","0",
"1990","September 06, 1990","General Election","1302134","Liberal Party","130","36",
"1990","September 06, 1990","General Election","24613","Libertarian Party","46","0",
"1990","September 06, 1990","General Election","1509506","New Democratic Party","130","74",
"1990","September 06, 1990","General Election","944564","Progressive Conservative","130","20",
"1987","September 10, 1987","General Election","3422","Communist Party of Canada (Ontario)","9","0",
"1987","September 10, 1987","General Election","48110","Family Coalition Party of Ontario","36","0",
"1987","September 10, 1987","General Election","4735","Freedom Party of Ontario (Formerly Unparty Party*)","9","0",
"1987","September 10, 1987","General Election","3398","Green Party of Ontario","7","0",
"1987","September 10, 1987","General Election","13632","Independent","19","0",
"1987","September 10, 1987","General Election","1788214","Ontario Liberal Party","130","95",
"1987","September 10, 1987","General Election","13514","Ontario Libertarian Party","25","0",
"1987","September 10, 1987","General Election","970813","New Democratic Party of Ontario","130","19",
"1987","September 10, 1987","General Election","931473","Progressive Conservative Party of Ontario","130","16",
"1985","May 02, 1985","General Election","3696","Communist Party of Ontario","10","0",
"1985","May 02, 1985","General Election","1583","The Freedom Part of Ontario (Formerly Unpart Party*)","3","0",
"1985","May 02, 1985","General Election","5345","The Green Party of Ontario","9","0",
"1985","May 02, 1985","General Election","25728","Independent","28","0",
"1985","May 02, 1985","General Election","1377965","Ontario Liberal Party","125","48",
"1985","May 02, 1985","General Election","12831","Ontario Libertarian Party","17","0",
"1985","May 02, 1985","General Election","865507","New Democratic Part of Ontario","125","25",
"1985","May 02, 1985","General Election","1343044","Progressive Conservative","125","52",
"1981","March 19, 1981","General Election","5306","Communist","18","0",
"1981","March 19, 1981","General Election","10585","Independent","27","0",
"1981","March 19, 1981","General Election","1065569","Liberal","123","33",
"1981","March 19, 1981","General Election","7111","Liberal-Labour","2","1",
"1981","March 19, 1981","General Election","7087","Libertarian","12","0",
"1981","March 19, 1981","General Election","672824","New Democratic","125","21",
"1981","March 19, 1981","General Election","1412488","Progressive Conservative","125","70",
"1981","March 19, 1981","General Election","1054","Social Credit","3","0",
"1981","March 19, 1981","General Election","460","Unparty","1","0",
