"Year","Election Date","Election Type","Votes Cast","Electoral District","Number of Candidates","Registered Voters","Voter Turnout","Rejected Ballots","Unmarked Ballots","Declined Ballots","Valid Ballots",
"2025","February 27, 2025","General Election","25970","030 - Etobicoke North","6","76734","26182","129","71","12","25970",
"2025","February 27, 2025","General Election","48176","031 - Flamborough—Glanbrook","5","101104","48492","118","119","79","48176",
"2025","February 27, 2025","General Election","47935","032 - Glengarry—Prescott—Russell","7","101904","48287","261","65","26","47935",
"2025","February 27, 2025","General Election","60132","033 - Guelph","5","118153","60402","140","77","53","60132",
"2025","February 27, 2025","General Election","52896","034 - Haldimand—Norfolk","6","97954","53080","109","52","23","52896",
"2025","February 27, 2025","General Election","50831","035 - Haliburton—Kawartha Lakes—Brock","9","106268","51203","213","74","85","50831",
"2025","February 27, 2025","General Election","33469","036 - Hamilton Centre","7","79401","33582","56","52","5","33469",
"2025","February 27, 2025","General Election","38983","037 - Hamilton East—Stoney Creek","7","89584","39255","134","72","66","38983",
"2025","February 27, 2025","General Election","38577","038 - Hamilton Mountain","8","84310","38802","102","67","56","38577",
"2025","February 27, 2025","General Election","50637","039 - Hamilton West—Ancaster—Dundas","7","97226","51015","150","117","111","50637",
"2025","February 27, 2025","General Election","41679","040 - Hastings—Lennox and Addington","6","85746","42014","135","122","78","41679",
"2025","February 27, 2025","General Election","24876","041 - Humber River—Black Creek","5","72740","25204","139","166","23","24876",
"2025","February 27, 2025","General Election","48901","042 - Huron—Bruce","6","89807","49269","194","94","80","48901",
"2025","February 27, 2025","General Election","47608","043 - Kanata—Carleton","6","95098","47931","107","184","32","47608",
"2025","February 27, 2025","General Election","17590","044 - Kenora—Rainy River","5","37548","17715","85","15","25","17590",
"2025","February 27, 2025","General Election","44453","045 - King—Vaughan","6","112129","44727","159","69","46","44453",
"2025","February 27, 2025","General Election","54064","046 - Kingston and the Islands","6","109520","54476","281","88","43","54064",
"2025","February 27, 2025","General Election","41250","047 - Kitchener Centre","7","88419","41526","112","106","58","41250",
"2025","February 27, 2025","General Election","40797","048 - Kitchener—Conestoga","6","80543","41126","130","111","88","40797",
"2025","February 27, 2025","General Election","38225","049 - Kitchener South—Hespeler","5","87520","38478","137","58","58","38225",
"2025","February 27, 2025","General Election","47239","050 - Lambton—Kent—Middlesex","5","93152","47533","161","49","84","47239",
"2025","February 27, 2025","General Election","47653","051 - Lanark—Frontenac—Kingston","7","93300","47893","123","55","62","47653",
"2025","February 27, 2025","General Election","45571","052 - Leeds—Grenville—Thousand Islands and Rideau Lakes","7","89653","45944","207","121","45","45571",
"2025","February 27, 2025","General Election","39398","053 - London—Fanshawe","7","96054","39640","126","58","58","39398",
"2025","February 27, 2025","General Election","48356","054 - London North Centre","6","104571","48605","99","57","93","48356",
"2025","February 27, 2025","General Election","54033","055 - London West","8","108634","54285","130","81","41","54033",
"2025","February 27, 2025","General Election","44941","056 - Markham—Stouffville","5","104085","45160","112","91","16","44941",
"2025","February 27, 2025","General Election","26666","057 - Markham—Thornhill","4","72174","26851","84","74","27","26666",
"2025","February 27, 2025","General Election","32886","058 - Markham—Unionville","5","92176","33069","106","59","18","32886",
"2025","February 27, 2025","General Election","42357","059 - Milton","6","101453","42592","157","49","29","42357",
"2025","February 27, 2025","General Election","35463","060 - Mississauga Centre","7","93765","35772","189","99","21","35463",
"2025","February 27, 2025","General Election","36108","061 - Mississauga East—Cooksville","9","87644","36330","127","67","28","36108",
"2025","February 27, 2025","General Election","37717","062 - Mississauga—Erin Mills","7","93863","38513","134","638","24","37717",
"2025","February 27, 2025","General Election","43301","063 - Mississauga—Lakeshore","7","94277","43530","141","53","35","43301",
"2025","February 27, 2025","General Election","29675","064 - Mississauga—Malton","5","81246","29814","77","45","17","29675",
"2025","February 27, 2025","General Election","40069","065 - Mississauga—Streetsville","5","91117","40371","91","191","20","40069",
"2025","February 27, 2025","General Election","46739","066 - Nepean","7","103654","46935","102","56","38","46739",
"2025","February 27, 2025","General Election","42602","067 - Newmarket—Aurora","6","97899","42871","156","70","43","42602",
"2025","February 27, 2025","General Election","48385","068 - Niagara Centre","7","100743","48738","202","102","49","48385",
"2025","February 27, 2025","General Election","53771","069 - Niagara Falls","7","120441","54215","257","96","91","53771",
"2025","February 27, 2025","General Election","44817","070 - Niagara West","8","82145","45095","108","99","71","44817",
"2025","February 27, 2025","General Election","35403","071 - Nickel Belt","6","70685","35701","120","137","41","35403",
"2025","February 27, 2025","General Election","31656","072 - Nipissing","6","65384","31995","132","154","53","31656",
"2025","February 27, 2025","General Election","54692","073 - Northumberland—Peterborough South","6","105390","55119","195","153","79","54692",
"2025","February 27, 2025","General Election","47395","074 - Oakville","6","96712","47670","116","127","32","47395",
"2025","February 27, 2025","General Election","51472","075 - Oakville North—Burlington","5","111157","51740","155","72","41","51472",
"2025","February 27, 2025","General Election","56262","076 - Orléans","8","118683","56609","206","116","25","56262",
"2025","February 27, 2025","General Election","44402","077 - Oshawa","6","107185","44621","88","68","63","44402",
"2025","February 27, 2025","General Election","58320","078 - Ottawa Centre","8","119363","58597","151","84","42","58320",
"2025","February 27, 2025","General Election","41932","079 - Ottawa South","5","99305","42192","106","119","35","41932",
"2025","February 27, 2025","General Election","40275","080 - Ottawa—Vanier","6","104696","40646","219","120","32","40275",
"2025","February 27, 2025","General Election","40722","081 - Ottawa West—Nepean","5","90773","40993","153","77","41","40722",
"2025","February 27, 2025","General Election","48970","082 - Oxford","7","101383","49296","127","117","82","48970",
"2025","February 27, 2025","General Election","45220","083 - Parkdale—High Park","6","87683","45434","87","80","47","45220",
"2025","February 27, 2025","General Election","46436","084 - Parry Sound—Muskoka","6","87147","46807","199","116","56","46436",
"2025","February 27, 2025","General Election","44909","085 - Perth—Wellington","7","85702","45150","100","75","66","44909",
"2025","February 27, 2025","General Election","55109","086 - Peterborough—Kawartha","6","106046","55336","129","50","48","55109",
"2025","February 27, 2025","General Election","45723","087 - Pickering—Uxbridge","8","100493","45870","63","34","50","45723",
"2025","February 27, 2025","General Election","44311","088 - Renfrew—Nipissing—Pembroke","6","91213","44647","186","89","61","44311",
"2025","February 27, 2025","General Election","30780","089 - Richmond Hill","5","87268","31033","88","139","26","30780",
"2025","February 27, 2025","General Election","46745","090 - St. Catharines","8","94400","47085","189","108","43","46745",
"2025","February 27, 2025","General Election","44283","091 - Sarnia—Lambton","9","88387","44650","197","114","56","44283",
"2025","February 27, 2025","General Election","30350","092 - Sault Ste. Marie","6","61229","30565","88","67","60","30350",
"2025","February 27, 2025","General Election","27271","093 - Scarborough—Agincourt","6","73529","27459","107","60","21","27271",
"2025","February 27, 2025","General Election","30338","094 - Scarborough Centre","6","79287","30648","193","95","22","30338",
"2025","February 27, 2025","General Election","27074","095 - Scarborough—Guildwood","7","70700","27311","154","63","20","27074",
"2025","February 27, 2025","General Election","24598","096 - Scarborough North","4","66842","24732","66","44","24","24598",
"2025","February 27, 2025","General Election","33269","097 - Scarborough—Rouge Park","6","78813","33444","95","39","41","33269",
"2025","February 27, 2025","General Election","33937","098 - Scarborough Southwest","4","81880","34172","125","76","34","33937",
"2025","February 27, 2025","General Election","57051","099 - Simcoe—Grey","5","130012","57443","218","76","98","57051",
"2025","February 27, 2025","General Election","48365","100 - Simcoe North","6","105720","48752","247","75","65","48365",
"2025","February 27, 2025","General Election","45424","101 - Spadina—Fort York","5","109204","45816","225","127","40","45424",
"2025","February 27, 2025","General Election","37714","102 - Stormont—Dundas—South Glengarry","6","88432","38004","131","49","110","37714",
"2025","February 27, 2025","General Election","31581","103 - Sudbury","6","67045","31784","138","35","30","31581",
"2025","February 27, 2025","General Election","35677","104 - Thornhill","6","90296","36055","155","177","46","35677",
"2025","February 27, 2025","General Election","30029","105 - Thunder Bay—Atikokan","6","61373","30242","114","70","29","30029",
"2025","February 27, 2025","General Election","27451","106 - Thunder Bay—Superior North","7","56498","27634","90","62","31","27451",
"2025","February 27, 2025","General Election","25216","107 - Timiskaming—Cochrane","5","52448","25401","109","49","27","25216",
"2025","February 27, 2025","General Election","13698","108 - Timmins","5","33034","13845","99","23","25","13698",
"2025","February 27, 2025","General Election","39135","109 - Toronto Centre","7","92620","39444","218","59","32","39135",
"2025","February 27, 2025","General Election","42399","110 - Toronto—Danforth","5","85825","42705","200","84","22","42399",
"2025","February 27, 2025","General Election","42699","111 - Toronto—St. Paul's","4","91639","42984","137","98","50","42699",
"2025","February 27, 2025","General Election","39365","112 - University—Rosedale","5","89216","39660","203","61","31","39365",
"2025","February 27, 2025","General Election","35686","113 - Vaughan—Woodbridge","6","84463","35948","135","107","20","35686",
"2025","February 27, 2025","General Election","49884","114 - Waterloo","8","97094","50082","107","51","40","49884",
"2025","February 27, 2025","General Election","53969","115 - Wellington—Halton Hills","7","107532","54512","154","310","79","53969",
"2025","February 27, 2025","General Election","51560","116 - Whitby","5","112402","51840","160","71","49","51560",
"2025","February 27, 2025","General Election","31273","117 - Willowdale","6","84081","31555","126","128","28","31273",
"2025","February 27, 2025","General Election","44203","118 - Windsor—Tecumseh","7","98508","44506","188","51","64","44203",
"2025","February 27, 2025","General Election","37207","119 - Windsor West","6","97064","37578","184","112","75","37207",
"2025","February 27, 2025","General Election","30369","120 - York Centre","8","76907","30714","213","113","19","30369",
"2025","February 27, 2025","General Election","41588","121 - York—Simcoe","8","103817","41831","117","63","63","41588",
"2025","February 27, 2025","General Election","31636","122 - York South—Weston","6","82710","31923","174","85","28","31636",
"2025","February 27, 2025","General Election","5647","123 - Kiiwetinoong","5","21245","5736","56","16","17","5647",
"2025","February 27, 2025","General Election","7980","124 - Mushkegowuk—James Bay","4","19499","8072","64","11","17","7980",
